"iso3c","year","socx"
"BEL",2000,23.485
"BEL",2001,23.989
"BEL",2002,24.341
"BEL",2003,25.491
"BEL",2004,25.251
"BEL",2005,25.229
"BEL",2006,25.109
"BEL",2007,24.89
"BEL",2008,26.258
"BEL",2009,28.553
"BEL",2010,28.284
"BEL",2011,28.732
"BEL",2012,28.685
"BEL",2013,29.213
"BEL",2014,29.448
"BEL",2015,29.188
"BEL",2016,29.206
"BEL",2017,29.179
"CAN",1980,13.306
"CAN",1981,13.754
"CAN",1982,16.063
"CAN",1983,16.232
"CAN",1984,15.933
"CAN",1985,16.418
"CAN",1986,16.354
"CAN",1987,16.072
"CAN",1988,15.872
"CAN",1989,16.235
"CAN",1990,17.546
"CAN",1991,19.784
"CAN",1992,20.426
"CAN",1993,20.353
"CAN",1994,19.257
"CAN",1995,18.354
"CAN",1996,17.551
"CAN",1997,16.942
"CAN",1998,17.034
"CAN",1999,16.047
"CAN",2000,15.763
"CAN",2001,16.198
"CAN",2002,16.209
"CAN",2003,16.29
"CAN",2004,16.287
"CAN",2005,16.138
"CAN",2006,16.292
"CAN",2007,16.198
"CAN",2008,16.279
"CAN",2009,18.015
"CAN",2010,17.529
"CAN",2011,17.028
"CAN",2012,17.062
"CAN",2013,16.784
"CAN",2014,16.691
"CAN",2015,17.628
"CAN",2016,17.436
"CAN",2017,17.325
"CZE",1990,14.113
"CZE",1991,15.17
"CZE",1992,15.444
"CZE",1993,15.713
"CZE",1994,15.797
"CZE",1995,16.065
"CZE",1996,16.078
"CZE",1997,16.829
"CZE",1998,17.136
"CZE",1999,17.781
"CZE",2000,17.911
"CZE",2001,17.882
"CZE",2002,18.61
"CZE",2003,18.766
"CZE",2004,17.94
"CZE",2005,18.074
"CZE",2006,17.737
"CZE",2007,17.521
"CZE",2008,17.801
"CZE",2009,20.118
"CZE",2010,19.722
"CZE",2011,19.758
"CZE",2012,19.968
"CZE",2013,20.902
"CZE",2014,20.219
"CZE",2015,19.395
"CZE",2016,19.139
"CZE",2017,18.998
"DNK",1980,20.259
"DNK",1981,20.131
"DNK",1982,19.967
"DNK",1983,20.066
"DNK",1984,19.233
"DNK",1985,19.159
"DNK",1986,19.673
"DNK",1987,20.478
"DNK",1988,21.48
"DNK",1989,21.474
"DNK",1990,21.949
"DNK",1991,22.404
"DNK",1992,22.6
"DNK",1993,23.791
"DNK",1994,25.424
"DNK",1995,25.513
"DNK",1996,24.946
"DNK",1997,24.156
"DNK",1998,23.741
"DNK",1999,24.547
"DNK",2000,23.765
"DNK",2001,24.29
"DNK",2002,24.804
"DNK",2003,25.328
"DNK",2004,25.119
"DNK",2005,25.195
"DNK",2006,24.961
"DNK",2007,24.982
"DNK",2008,25.371
"DNK",2009,28.251
"DNK",2010,28.592
"DNK",2011,28.634
"DNK",2012,28.747
"DNK",2013,28.776
"DNK",2014,28.823
"DNK",2015,28.99
"DNK",2016,28.749
"DNK",2017,28.121
"FIN",1980,17.742
"FIN",1981,17.881
"FIN",1982,18.912
"FIN",1983,19.816
"FIN",1984,20.611
"FIN",1985,21.663
"FIN",1986,22.105
"FIN",1987,22.744
"FIN",1988,22.077
"FIN",1989,21.805
"FIN",1990,23.318
"FIN",1991,28.228
"FIN",1992,32.173
"FIN",1993,32.264
"FIN",1994,31.567
"FIN",1995,28.902
"FIN",1996,28.738
"FIN",1997,26.624
"FIN",1998,24.527
"FIN",1999,23.842
"FIN",2000,22.613
"FIN",2001,22.439
"FIN",2002,23.16
"FIN",2003,23.889
"FIN",2004,24.009
"FIN",2005,23.974
"FIN",2006,23.717
"FIN",2007,22.816
"FIN",2008,23.283
"FIN",2009,26.87
"FIN",2010,27.341
"FIN",2011,27.086
"FIN",2012,28.346
"FIN",2013,29.422
"FIN",2014,30.191
"FIN",2015,30.392
"FIN",2016,29.817
"FIN",2017,28.883
"FRA",1980,20.073
"FRA",1981,15.564
"FRA",1982,16.058
"FRA",1983,16.164
"FRA",1984,16.317
"FRA",1985,25.245
"FRA",1986,19.111
"FRA",1987,19.016
"FRA",1988,18.811
"FRA",1989,17.869
"FRA",1990,24.28
"FRA",1991,24.91
"FRA",1992,25.639
"FRA",1993,27.024
"FRA",1994,27.064
"FRA",1995,28.332
"FRA",1996,28.624
"FRA",1997,28.492
"FRA",1998,28.709
"FRA",1999,28.681
"FRA",2000,27.58
"FRA",2001,27.576
"FRA",2002,28.295
"FRA",2003,28.669
"FRA",2004,28.749
"FRA",2005,28.726
"FRA",2006,28.275
"FRA",2007,28.065
"FRA",2008,28.327
"FRA",2009,31.018
"FRA",2010,31.036
"FRA",2011,30.817
"FRA",2012,31.358
"FRA",2013,31.876
"FRA",2014,32.213
"FRA",2015,31.982
"FRA",2016,31.969
"FRA",2017,31.789
"DEU",1980,21.788
"DEU",1981,22.446
"DEU",1982,22.433
"DEU",1983,22.14
"DEU",1984,21.881
"DEU",1985,22.228
"DEU",1986,22.247
"DEU",1987,22.715
"DEU",1988,22.705
"DEU",1989,21.643
"DEU",1990,21.354
"DEU",1991,22.391
"DEU",1992,24.11
"DEU",1993,24.772
"DEU",1994,24.912
"DEU",1995,25.211
"DEU",1996,25.806
"DEU",1997,25.381
"DEU",1998,25.352
"DEU",1999,25.612
"DEU",2000,25.387
"DEU",2001,25.408
"DEU",2002,26.042
"DEU",2003,26.533
"DEU",2004,25.935
"DEU",2005,26.237
"DEU",2006,25.016
"DEU",2007,24.074
"DEU",2008,24.203
"DEU",2009,26.644
"DEU",2010,25.897
"DEU",2011,24.662
"DEU",2012,24.532
"DEU",2013,24.691
"DEU",2014,24.707
"DEU",2015,24.862
"DEU",2016,25.061
"DEU",2017,25.051
"GRC",1980,9.856
"GRC",1981,11.869
"GRC",1982,13.94
"GRC",1983,14.484
"GRC",1984,14.793
"GRC",1985,15.368
"GRC",1986,15.213
"GRC",1987,15.179
"GRC",1988,13.932
"GRC",1989,14.771
"GRC",1990,15.721
"GRC",1991,15.178
"GRC",1992,15.389
"GRC",1993,16.233
"GRC",1994,16.259
"GRC",1995,16.6
"GRC",1996,17.011
"GRC",1997,16.912
"GRC",1998,17.461
"GRC",1999,17.973
"GRC",2000,17.768
"GRC",2001,18.637
"GRC",2002,18.359
"GRC",2003,18.181
"GRC",2004,18.395
"GRC",2005,19.875
"GRC",2006,20.004
"GRC",2007,20.417
"GRC",2008,21.274
"GRC",2009,23.973
"GRC",2010,24.851
"GRC",2011,26.037
"GRC",2012,26.878
"GRC",2013,25.089
"GRC",2014,25.173
"GRC",2015,25.425
"GRC",2016,25.739
"GRC",2017,24.849
"HUN",1999,20.812
"HUN",2000,20.053
"HUN",2001,19.745
"HUN",2002,20.767
"HUN",2003,21.784
"HUN",2004,21.065
"HUN",2005,21.854
"HUN",2006,22.202
"HUN",2007,22.437
"HUN",2008,22.679
"HUN",2009,23.28
"HUN",2010,23.035
"HUN",2011,22.357
"HUN",2012,22.656
"HUN",2013,22.256
"HUN",2014,21.527
"HUN",2015,20.888
"HUN",2016,20.798
"HUN",2017,20.18
"ISL",1990,13.493
"ISL",1991,13.95
"ISL",1992,14.49
"ISL",1993,14.861
"ISL",1994,14.769
"ISL",1995,15.053
"ISL",1996,14.741
"ISL",1997,14.147
"ISL",1998,14.254
"ISL",1999,14.528
"ISL",2000,14.628
"ISL",2001,14.674
"ISL",2002,16.054
"ISL",2003,17.131
"ISL",2004,16.756
"ISL",2005,15.948
"ISL",2006,15.499
"ISL",2007,14.622
"ISL",2008,15.061
"ISL",2009,17.285
"ISL",2010,16.902
"ISL",2011,17.029
"ISL",2012,16.668
"ISL",2013,16.206
"ISL",2014,16.334
"ISL",2015,15.482
"ISL",2016,15.093
"ISL",2017,15.944
"IRL",1980,15.656
"IRL",1981,15.765
"IRL",1982,16.555
"IRL",1983,16.675
"IRL",1984,16.141
"IRL",1985,20.368
"IRL",1986,20.517
"IRL",1987,19.792
"IRL",1988,18.579
"IRL",1989,17.12
"IRL",1990,16.838
"IRL",1991,17.741
"IRL",1992,18.504
"IRL",1993,18.474
"IRL",1994,18.078
"IRL",1995,17.542
"IRL",1996,16.571
"IRL",1997,15.514
"IRL",1998,14.561
"IRL",1999,13.705
"IRL",2000,13.193
"IRL",2001,14.023
"IRL",2002,14.911
"IRL",2003,15.405
"IRL",2004,15.682
"IRL",2005,15.911
"IRL",2006,15.889
"IRL",2007,16.755
"IRL",2008,19.785
"IRL",2009,23.737
"IRL",2010,24.568
"IRL",2011,23.672
"IRL",2012,23.355
"IRL",2013,22.187
"IRL",2014,20.404
"IRL",2015,15.514
"IRL",2016,14.927
"IRL",2017,14.336
"ITA",1980,17.379
"ITA",1981,18.728
"ITA",1982,19.192
"ITA",1983,20.217
"ITA",1984,19.79
"ITA",1985,20.113
"ITA",1986,20.113
"ITA",1987,20.331
"ITA",1988,20.189
"ITA",1989,20.352
"ITA",1990,20.704
"ITA",1991,21.076
"ITA",1992,21.805
"ITA",1993,22.072
"ITA",1994,22.054
"ITA",1995,21.12
"ITA",1996,21.517
"ITA",1997,22.219
"ITA",1998,22.378
"ITA",1999,22.809
"ITA",2000,22.677
"ITA",2001,22.935
"ITA",2002,23.349
"ITA",2003,23.679
"ITA",2004,23.933
"ITA",2005,24.173
"ITA",2006,24.299
"ITA",2007,24.138
"ITA",2008,25.084
"ITA",2009,27.105
"ITA",2010,27.124
"ITA",2011,26.804
"ITA",2012,27.59
"ITA",2013,28.167
"ITA",2014,28.364
"ITA",2015,28.481
"ITA",2016,28.301
"ITA",2017,28.144
"JPN",1980,9.991
"JPN",1981,10.427
"JPN",1982,10.769
"JPN",1983,11.004
"JPN",1984,10.871
"JPN",1985,10.84
"JPN",1986,11.172
"JPN",1987,11.22
"JPN",1988,10.915
"JPN",1989,10.76
"JPN",1990,10.927
"JPN",1991,11.056
"JPN",1992,11.657
"JPN",1993,12.375
"JPN",1994,12.926
"JPN",1995,13.305
"JPN",1996,13.291
"JPN",1997,13.701
"JPN",1998,14.349
"JPN",1999,15.19
"JPN",2000,15.426
"JPN",2001,16.169
"JPN",2002,16.513
"JPN",2003,16.712
"JPN",2004,16.913
"JPN",2005,17.17
"JPN",2006,17.303
"JPN",2007,17.713
"JPN",2008,18.722
"JPN",2009,20.899
"JPN",2010,21.256
"JPN",2011,22.292
"JPN",2012,22.229
"JPN",2013,22.155
"JPN",2014,21.911
"JPN",2015,21.877
"KOR",1990,2.681
"KOR",1991,2.584
"KOR",1992,2.809
"KOR",1993,2.886
"KOR",1994,2.884
"KOR",1995,3.07
"KOR",1996,3.226
"KOR",1997,3.477
"KOR",1998,4.832
"KOR",1999,5.764
"KOR",2000,4.527
"KOR",2001,4.919
"KOR",2002,4.793
"KOR",2003,5.106
"KOR",2004,5.74
"KOR",2005,6.121
"KOR",2006,6.973
"KOR",2007,7.084
"KOR",2008,7.591
"KOR",2009,8.445
"KOR",2010,8.216
"KOR",2011,8.143
"KOR",2012,8.708
"KOR",2013,9.266
"KOR",2014,9.666
"KOR",2015,10.213
"KOR",2016,10.52
"KOR",2017,10.628
"LUX",1980,19.414
"LUX",1981,20.773
"LUX",1982,20.117
"LUX",1983,20.277
"LUX",1984,19.1
"LUX",1985,18.915
"LUX",1986,18.307
"LUX",1987,19.138
"LUX",1988,18.741
"LUX",1989,18.13
"LUX",1990,18.328
"LUX",1991,18.631
"LUX",1992,18.971
"LUX",1993,19.284
"LUX",1994,19.105
"LUX",1995,19.882
"LUX",1996,19.729
"LUX",1997,19.863
"LUX",1998,20.154
"LUX",1999,19.499
"LUX",2000,18.699
"LUX",2001,20.391
"LUX",2002,21.428
"LUX",2003,22.809
"LUX",2004,23.077
"LUX",2005,22.833
"LUX",2006,21.397
"LUX",2007,20.211
"LUX",2008,21.937
"LUX",2009,24.037
"LUX",2010,23.139
"LUX",2011,21.19
"LUX",2012,22.889
"LUX",2013,23.08
"LUX",2014,22.367
"LUX",2015,22.097
"LUX",2016,22.184
"LUX",2017,22.566
"MEX",1985,1.948
"MEX",1986,1.785
"MEX",1987,1.725
"MEX",1988,1.921
"MEX",1989,2.462
"MEX",1990,3.139
"MEX",1991,3.523
"MEX",1992,3.85
"MEX",1993,3.786
"MEX",1994,4.105
"MEX",1995,3.68
"MEX",1996,3.367
"MEX",1997,3.396
"MEX",1998,3.809
"MEX",1999,4.286
"MEX",2000,4.391
"MEX",2001,4.992
"MEX",2002,5.346
"MEX",2003,6.02
"MEX",2004,5.954
"MEX",2005,6.145
"MEX",2006,6.26
"MEX",2007,6.255
"MEX",2008,6.704
"MEX",2009,7.262
"MEX",2010,7.368
"MEX",2011,7.222
"MEX",2012,7.235
"MEX",2013,7.566
"MEX",2014,7.568
"MEX",2015,7.682
"MEX",2016,7.521
"NLD",1980,23.261
"NLD",1981,23.899
"NLD",1982,25.364
"NLD",1983,25.718
"NLD",1984,24.37
"NLD",1985,23.78
"NLD",1986,23.206
"NLD",1987,23.163
"NLD",1988,22.839
"NLD",1989,22.512
"NLD",1990,23.989
"NLD",1991,23.94
"NLD",1992,24.376
"NLD",1993,24.485
"NLD",1994,23.136
"NLD",1995,22.449
"NLD",1996,22.541
"NLD",1997,20.5
"NLD",1998,20.246
"NLD",1999,19.446
"NLD",2000,18.849
"NLD",2001,18.905
"NLD",2002,19.32
"NLD",2003,20.094
"NLD",2004,19.978
"NLD",2005,20.228
"NLD",2006,16.468
"NLD",2007,16.582
"NLD",2008,15.734
"NLD",2009,17.361
"NLD",2010,17.782
"NLD",2011,17.747
"NLD",2012,18.214
"NLD",2013,18.452
"NLD",2014,18.098
"NLD",2015,17.729
"NLD",2016,17.487
"NLD",2017,16.999
"NZL",1980,16.217
"NZL",1981,16.3
"NZL",1982,17.051
"NZL",1983,16.697
"NZL",1984,15.998
"NZL",1985,16.444
"NZL",1986,16.545
"NZL",1987,17.335
"NZL",1988,18.547
"NZL",1989,19.888
"NZL",1990,20.313
"NZL",1991,20.727
"NZL",1992,20.367
"NZL",1993,18.887
"NZL",1994,18.193
"NZL",1995,17.694
"NZL",1996,17.64
"NZL",1997,18.581
"NZL",1998,19.081
"NZL",1999,18.486
"NZL",2000,18.233
"NZL",2001,17.63
"NZL",2002,18.025
"NZL",2003,17.51
"NZL",2004,17.21
"NZL",2005,17.781
"NZL",2006,18.477
"NZL",2007,18.254
"NZL",2008,19.643
"NZL",2009,20.692
"NZL",2010,20.43
"NZL",2011,20.043
"NZL",2012,20.139
"NZL",2013,19.476
"NZL",2014,19.617
"NZL",2015,19.211
"NZL",2016,18.921
"NZL",2017,18.573
"NOR",1980,16.121
"NOR",1985,17.198
"NOR",1988,19.971
"NOR",1989,20.866
"NOR",1990,21.55
"NOR",1991,22.458
"NOR",1992,23.346
"NOR",1993,23.261
"NOR",1994,23.081
"NOR",1995,22.474
"NOR",1996,21.681
"NOR",1997,21.183
"NOR",1998,22.634
"NOR",1999,22.551
"NOR",2000,20.402
"NOR",2001,21.231
"NOR",2002,22.722
"NOR",2003,23.655
"NOR",2004,22.296
"NOR",2005,20.748
"NOR",2006,19.488
"NOR",2007,19.596
"NOR",2008,19.212
"NOR",2009,22.436
"NOR",2010,22.026
"NOR",2011,21.497
"NOR",2012,21.426
"NOR",2013,21.894
"NOR",2014,22.828
"NOR",2015,24.701
"NOR",2016,25.734
"NOR",2017,25.336
"POL",1990,14.209
"POL",1991,20.508
"POL",1992,24.068
"POL",1993,23.562
"POL",1994,22.487
"POL",1995,21.832
"POL",1996,22.022
"POL",1997,21.512
"POL",1998,20.812
"POL",1999,21.153
"POL",2000,20.221
"POL",2001,21.754
"POL",2002,22.04
"POL",2003,21.997
"POL",2004,21.105
"POL",2005,20.761
"POL",2006,20.495
"POL",2007,19.406
"POL",2008,20.095
"POL",2009,21.188
"POL",2010,20.629
"POL",2011,19.442
"POL",2012,19.556
"POL",2013,20.477
"POL",2014,20.345
"POL",2015,20.22
"POL",2016,21.204
"POL",2017,20.959
"PRT",1980,9.514
"PRT",1981,10.156
"PRT",1982,9.613
"PRT",1983,9.727
"PRT",1984,9.663
"PRT",1985,9.829
"PRT",1986,10.423
"PRT",1987,10.694
"PRT",1988,10.851
"PRT",1989,10.494
"PRT",1990,12.224
"PRT",1991,13.102
"PRT",1992,13.756
"PRT",1993,15.117
"PRT",1994,15.236
"PRT",1995,16.016
"PRT",1996,16.595
"PRT",1997,16.437
"PRT",1998,16.829
"PRT",1999,17.236
"PRT",2000,18.468
"PRT",2001,18.948
"PRT",2002,20.281
"PRT",2003,21.324
"PRT",2004,21.654
"PRT",2005,22.287
"PRT",2006,22.019
"PRT",2007,21.727
"PRT",2008,22.184
"PRT",2009,24.542
"PRT",2010,24.474
"PRT",2011,24.388
"PRT",2012,24.525
"PRT",2013,25.573
"PRT",2014,25.069
"PRT",2015,24.039
"PRT",2016,23.673
"PRT",2017,23.711
"SVK",1995,18.403
"SVK",1996,18.004
"SVK",1997,17.611
"SVK",1998,17.722
"SVK",1999,18.207
"SVK",2000,17.55
"SVK",2001,17.258
"SVK",2002,17.412
"SVK",2003,16.649
"SVK",2004,15.924
"SVK",2005,15.782
"SVK",2006,15.526
"SVK",2007,15.283
"SVK",2008,15.337
"SVK",2009,18.2
"SVK",2010,18
"SVK",2011,17.688
"SVK",2012,17.84
"SVK",2013,18.025
"SVK",2014,18.09
"SVK",2015,17.8
"SVK",2016,17.777
"SVK",2017,17.345
"ESP",1980,14.983
"ESP",1981,16.085
"ESP",1982,16.098
"ESP",1983,16.828
"ESP",1984,16.605
"ESP",1985,17.133
"ESP",1986,16.882
"ESP",1987,16.763
"ESP",1988,17.246
"ESP",1989,17.36
"ESP",1990,19.196
"ESP",1991,19.93
"ESP",1992,21.069
"ESP",1993,22.317
"ESP",1994,21.323
"ESP",1995,20.687
"ESP",1996,20.584
"ESP",1997,20.011
"ESP",1998,19.909
"ESP",1999,19.751
"ESP",2000,19.481
"ESP",2001,19.107
"ESP",2002,19.335
"ESP",2003,19.927
"ESP",2004,20.135
"ESP",2005,20.408
"ESP",2006,20.43
"ESP",2007,20.797
"ESP",2008,22.19
"ESP",2009,25.384
"ESP",2010,24.722
"ESP",2011,25.395
"ESP",2012,25.341
"ESP",2013,25.559
"ESP",2014,25.231
"ESP",2015,24.656
"ESP",2016,24.251
"ESP",2017,23.854
"SWE",1980,24.844
"SWE",1981,25.552
"SWE",1982,25.486
"SWE",1983,25.785
"SWE",1984,25.005
"SWE",1985,26.967
"SWE",1986,27.091
"SWE",1987,27.314
"SWE",1988,27.768
"SWE",1989,27.187
"SWE",1990,27.237
"SWE",1991,29.07
"SWE",1992,32.666
"SWE",1993,34.178
"SWE",1994,32.942
"SWE",1995,30.561
"SWE",1996,30.093
"SWE",1997,28.867
"SWE",1998,28.523
"SWE",1999,27.979
"SWE",2000,26.773
"SWE",2001,26.814
"SWE",2002,27.521
"SWE",2003,28.199
"SWE",2004,27.671
"SWE",2005,27.325
"SWE",2006,26.61
"SWE",2007,25.483
"SWE",2008,25.55
"SWE",2009,27.632
"SWE",2010,26.255
"SWE",2011,25.59
"SWE",2012,26.507
"SWE",2013,27.174
"SWE",2014,26.804
"SWE",2015,26.341
"SWE",2016,26.421
"SWE",2017,26.143
"CHE",1980,12.737
"CHE",1981,12.456
"CHE",1982,13.172
"CHE",1983,13.539
"CHE",1984,13.684
"CHE",1985,13.358
"CHE",1986,13.474
"CHE",1987,13.59
"CHE",1988,13.636
"CHE",1989,13.344
"CHE",1990,12.091
"CHE",1991,13.064
"CHE",1992,14.416
"CHE",1993,15.748
"CHE",1994,15.685
"CHE",1995,14.033
"CHE",1996,14.397
"CHE",1997,14.909
"CHE",1998,14.869
"CHE",1999,14.648
"CHE",2000,13.875
"CHE",2001,14.184
"CHE",2002,15.056
"CHE",2003,15.946
"CHE",2004,15.852
"CHE",2005,15.622
"CHE",2006,14.697
"CHE",2007,14.085
"CHE",2008,13.818
"CHE",2009,15.256
"CHE",2010,15.061
"CHE",2011,14.928
"CHE",2012,15.287
"CHE",2013,15.439
"CHE",2014,15.502
"CHE",2015,15.885
"CHE",2016,15.907
"CHE",2017,16.124
"TUR",1980,2.246
"TUR",1981,1.649
"TUR",1982,1.785
"TUR",1983,1.845
"TUR",1984,2.22
"TUR",1985,1.951
"TUR",1986,2.096
"TUR",1987,2.188
"TUR",1988,2.555
"TUR",1989,3.087
"TUR",1990,3.795
"TUR",1991,4.057
"TUR",1992,4.166
"TUR",1993,3.973
"TUR",1994,3.64
"TUR",1995,3.365
"TUR",1996,4.59
"TUR",1997,4.845
"TUR",1998,5.022
"TUR",1999,5.731
"TUR",2000,7.549
"TUR",2001,8.228
"TUR",2002,8.801
"TUR",2003,9.76
"TUR",2004,10.053
"TUR",2005,10.087
"TUR",2006,10.358
"TUR",2007,10.907
"TUR",2008,11.106
"TUR",2009,13.022
"TUR",2010,12.336
"TUR",2011,11.858
"TUR",2012,12.004
"TUR",2013,11.804
"TUR",2014,11.696
"TUR",2015,11.572
"TUR",2016,12.524
"GBR",1980,15.587
"GBR",1981,16.879
"GBR",1982,17.324
"GBR",1983,18.123
"GBR",1984,18.056
"GBR",1985,18.181
"GBR",1986,18.193
"GBR",1987,17.389
"GBR",1988,16.133
"GBR",1989,15.458
"GBR",1990,14.903
"GBR",1991,16.385
"GBR",1992,17.821
"GBR",1993,18.423
"GBR",1994,17.76
"GBR",1995,16.717
"GBR",1996,16.522
"GBR",1997,15.806
"GBR",1998,16.242
"GBR",1999,16.056
"GBR",2000,16.192
"GBR",2001,17.032
"GBR",2002,17.126
"GBR",2003,17.883
"GBR",2004,18.379
"GBR",2005,18.338
"GBR",2006,18.239
"GBR",2007,18.814
"GBR",2008,20.108
"GBR",2009,22.242
"GBR",2010,22.423
"GBR",2011,22.16
"GBR",2012,22.229
"GBR",2013,22.45
"GBR",2014,21.858
"GBR",2015,21.609
"GBR",2016,21.24
"GBR",2017,20.753
"USA",1980,12.837
"USA",1981,13.183
"USA",1982,13.611
"USA",1983,13.77
"USA",1984,12.883
"USA",1985,12.568
"USA",1986,12.896
"USA",1987,12.846
"USA",1988,12.805
"USA",1989,12.796
"USA",1990,13.16
"USA",1991,14.129
"USA",1992,14.805
"USA",1993,15.07
"USA",1994,15.015
"USA",1995,15.06
"USA",1996,14.855
"USA",1997,14.427
"USA",1998,14.491
"USA",1999,14.23
"USA",2000,14.25
"USA",2001,14.837
"USA",2002,15.687
"USA",2003,15.945
"USA",2004,15.809
"USA",2005,15.647
"USA",2006,15.727
"USA",2007,15.862
"USA",2008,16.5
"USA",2009,18.595
"USA",2010,19.368
"USA",2011,19.083
"USA",2012,18.83
"USA",2013,18.804
"USA",2014,18.783
"USA",2015,18.848
"USA",2016,18.91
"USA",2017,18.886
"CHL",1987,11.823
"CHL",1988,10.515
"CHL",1989,9.921
"CHL",1990,9.792
"CHL",1991,9.773
"CHL",1992,9.336
"CHL",1993,9.452
"CHL",1994,9.191
"CHL",1995,10.971
"CHL",1996,11.864
"CHL",1997,11.582
"CHL",1998,11.906
"CHL",1999,12.706
"CHL",2000,10.397
"CHL",2001,10.117
"CHL",2002,10.155
"CHL",2003,10.036
"CHL",2004,9.289
"CHL",2005,8.871
"CHL",2006,8.258
"CHL",2007,8.431
"CHL",2008,9.493
"CHL",2009,11.062
"CHL",2010,10.432
"CHL",2011,9.962
"CHL",2012,10.078
"CHL",2013,9.996
"CHL",2014,10.265
"CHL",2015,10.772
"CHL",2016,11.023
"CHL",2017,10.949
"EST",1999,15.135
"EST",2000,13.816
"EST",2001,13.028
"EST",2002,12.792
"EST",2003,12.918
"EST",2004,13.408
"EST",2005,12.97
"EST",2006,12.55
"EST",2007,12.574
"EST",2008,15.354
"EST",2009,19.549
"EST",2010,18.302
"EST",2011,16.312
"EST",2012,15.858
"EST",2013,15.799
"EST",2014,16.439
"EST",2015,17.698
"EST",2016,18.325
"EST",2017,18.007
"ISR",1995,16.448
"ISR",1996,16.834
"ISR",1997,16.936
"ISR",1998,16.564
"ISR",1999,16.484
"ISR",2000,16.205
"ISR",2001,17.454
"ISR",2002,17.436
"ISR",2003,16.889
"ISR",2004,15.808
"ISR",2005,15.3
"ISR",2006,15.126
"ISR",2007,14.614
"ISR",2008,14.781
"ISR",2009,15.322
"ISR",2010,15.438
"ISR",2011,15.183
"ISR",2012,15.487
"ISR",2013,15.471
"ISR",2014,15.497
"ISR",2015,15.544
"ISR",2016,15.486
"ISR",2017,16.032
"SVN",1995,5.702
"SVN",1996,21.953
"SVN",1997,22.282
"SVN",1998,22.363
"SVN",1999,22.337
"SVN",2000,22.038
"SVN",2001,21.951
"SVN",2002,22.25
"SVN",2003,21.887
"SVN",2004,21.515
"SVN",2005,21.434
"SVN",2006,21.069
"SVN",2007,19.718
"SVN",2008,19.867
"SVN",2009,22.483
"SVN",2010,23.395
"SVN",2011,23.506
"SVN",2012,23.529
"SVN",2013,23.819
"SVN",2014,23.062
"SVN",2015,22.635
"SVN",2016,22.155
"SVN",2017,21.43
"LVA",1994,0
"LVA",1995,0
"LVA",1996,0
"LVA",1997,14.258
"LVA",1998,14.976
"LVA",1999,16.384
"LVA",2000,15.352
"LVA",2001,14.34
"LVA",2002,13.814
"LVA",2003,12.89
"LVA",2004,13.053
"LVA",2005,12.256
"LVA",2006,12.155
"LVA",2007,11.077
"LVA",2008,13.016
"LVA",2009,18.142
"LVA",2010,19.498
"LVA",2011,16.592
"LVA",2012,15.387
"LVA",2013,15.541
"LVA",2014,15.378
"LVA",2015,15.705
"LVA",2016,16.119
"LVA",2017,15.792
"LTU",1996,13.11
"LTU",1997,13.752
"LTU",1998,14.969
"LTU",1999,16.15
"LTU",2000,15.383
"LTU",2001,14.542
"LTU",2002,14.338
"LTU",2003,14.271
"LTU",2004,13.221
"LTU",2005,13.679
